team,match_date,comp,stage,HAN,vs,gd,xgd,attendance
Burnley,12/30/2023,Premier League,Matchweek 20,A,Aston Villa,-1,-2,41613
Everton,12/30/2023,Premier League,Matchweek 20,A,Wolves,-3,-1.5,31639
Wolves,12/30/2023,Premier League,Matchweek 20,H,Everton,3,1.5,31639
Manchester Utd,12/30/2023,Premier League,Matchweek 20,A,Nott'ham Forest,-1,0.1,29529
Nott'ham Forest,12/30/2023,Premier League,Matchweek 20,H,Manchester Utd,1,-0.1,29529
Brentford,12/30/2023,Premier League,Matchweek 20,A,Crystal Palace,-2,0.4,25472
Crystal Palace,12/30/2023,Premier League,Matchweek 20,H,Brentford,2,-0.4,25472
Chelsea,12/30/2023,Premier League,Matchweek 20,A,Luton Town,1,-0.8,11041
Luton Town,12/30/2023,Premier League,Matchweek 20,H,Chelsea,-1,0.8,11041
Bournemouth,12/31/2023,Premier League,Matchweek 20,A,Tottenham,-2,-0.6,61780
Tottenham,12/31/2023,Premier League,Matchweek 20,H,Bournemouth,2,0.6,61780
Arsenal,12/31/2023,Premier League,Matchweek 20,A,Fulham,-1,0.4,24444
Fulham,12/31/2023,Premier League,Matchweek 20,H,Arsenal,1,-0.4,24444
Liverpool,1/1/2024,Premier League,Matchweek 20,H,Newcastle Utd,2,6.4,57471
Newcastle Utd,1/1/2024,Premier League,Matchweek 20,A,Liverpool,-2,-6.4,57471
Brighton,1/2/2024,Premier League,Matchweek 20,A,West Ham,0,1.6,62462
West Ham,1/2/2024,Premier League,Matchweek 20,H,Brighton,0,-1.6,62462
Crystal Palace,1/4/2024,FA Cup,Third round proper,H,Everton,0,0,24489
Everton,1/4/2024,FA Cup,Third round proper,A,Crystal Palace,0,0,24489
Burnley,1/5/2024,FA Cup,Third round proper,A,Tottenham,-1,0,60982
Tottenham,1/5/2024,FA Cup,Third round proper,H,Burnley,1,0,60982
Brentford,1/5/2024,FA Cup,Third round proper,H,Wolves,0,0,16818
Wolves,1/5/2024,FA Cup,Third round proper,A,Brentford,0,0,16818
Fulham,1/5/2024,FA Cup,Third round proper,H,Rotherham Utd,1,0,15083
Newcastle Utd,1/6/2024,FA Cup,Third round proper,A,Sunderland,3,0,44814
Chelsea,1/6/2024,FA Cup,Third round proper,H,Preston,4,0,39705
Aston Villa,1/6/2024,FA Cup,Third round proper,A,Middlesbrough,1,0,25022
Brighton,1/6/2024,FA Cup,Third round proper,A,Stoke City,2,0,17032
Bournemouth,1/6/2024,FA Cup,Third round proper,A,QPR,1,0,10725
Sheffield Utd,1/6/2024,FA Cup,Third round proper,A,Gillingham,4,0,8809
West Ham,1/7/2024,FA Cup,Third round proper,H,Bristol City,0,0,62447
Arsenal,1/7/2024,FA Cup,Third round proper,H,Liverpool,-2,0,58538
Liverpool,1/7/2024,FA Cup,Third round proper,A,Arsenal,2,0,58538
Manchester City,1/7/2024,FA Cup,Third round proper,H,Huddersfield,5,0,51939
Nott'ham Forest,1/7/2024,FA Cup,Third round proper,H,Blackpool,0,0,27909
Luton Town,1/7/2024,FA Cup,Third round proper,H,Bolton,0,0,10739
Manchester Utd,1/8/2024,FA Cup,Third round proper,A,Wigan Athletic,2,0,22870
Chelsea,1/9/2024,EFL Cup,Semi-finals,A,Middlesbrough,-1,0,32097
Fulham,1/10/2024,EFL Cup,Semi-finals,A,Liverpool,-1,0,56724
Liverpool,1/10/2024,EFL Cup,Semi-finals,H,Fulham,1,0,56724
Burnley,1/12/2024,Premier League,Matchweek 21,H,Luton Town,0,0.2,20155
Luton Town,1/12/2024,Premier League,Matchweek 21,A,Burnley,0,-0.2,20155
Manchester City,1/13/2024,Premier League,Matchweek 21,A,Newcastle Utd,1,1.7,52190
Newcastle Utd,1/13/2024,Premier League,Matchweek 21,H,Manchester City,-1,-1.7,52190
Chelsea,1/13/2024,Premier League,Matchweek 21,H,Fulham,1,1.4,39643
Fulham,1/13/2024,Premier League,Matchweek 21,A,Chelsea,-1,-1.4,39643
Manchester Utd,1/14/2024,Premier League,Matchweek 21,H,Tottenham,0,-0.4,73489
Tottenham,1/14/2024,Premier League,Matchweek 21,A,Manchester Utd,0,0.4,73489
Aston Villa,1/14/2024,Premier League,Matchweek 21,A,Everton,0,0.1,39284
Everton,1/14/2024,Premier League,Matchweek 21,H,Aston Villa,0,-0.1,39284
West Ham,1/16/2024,FA Cup,Third round proper,A,Bristol City,-1,0,25616
Brentford,1/16/2024,FA Cup,Third round proper,A,Wolves,-1,0,24692
Wolves,1/16/2024,FA Cup,Third round proper,H,Brentford,1,0,24692
Luton Town,1/16/2024,FA Cup,Third round proper,A,Bolton,1,0,10878
Crystal Palace,1/17/2024,FA Cup,Third round proper,A,Everton,-1,0,37796
Everton,1/17/2024,FA Cup,Third round proper,H,Crystal Palace,1,0,37796
Nott'ham Forest,1/17/2024,FA Cup,Third round proper,A,Blackpool,1,0,8098
Arsenal,1/20/2024,Premier League,Matchweek 21,H,Crystal Palace,5,3,60284
Crystal Palace,1/20/2024,Premier League,Matchweek 21,A,Arsenal,-5,-3,60284
Brentford,1/20/2024,Premier League,Matchweek 21,H,Nott'ham Forest,1,0,17077
Nott'ham Forest,1/20/2024,Premier League,Matchweek 21,A,Brentford,-1,0,17077
Sheffield Utd,1/21/2024,Premier League,Matchweek 21,H,West Ham,0,0.2,29164
West Ham,1/21/2024,Premier League,Matchweek 21,A,Sheffield Utd,0,-0.2,29164
Bournemouth,1/21/2024,Premier League,Matchweek 21,H,Liverpool,-4,-0.1,11228
Liverpool,1/21/2024,Premier League,Matchweek 21,A,Bournemouth,4,0.1,11228
Brighton,1/22/2024,Premier League,Matchweek 21,H,Wolves,0,-0.1,41505
Wolves,1/22/2024,Premier League,Matchweek 21,A,Brighton,0,0.1,41505
Chelsea,1/23/2024,EFL Cup,Semi-finals,H,Middlesbrough,5,0,37754
Fulham,1/24/2024,EFL Cup,Semi-finals,H,Liverpool,0,0,24320
Liverpool,1/24/2024,EFL Cup,Semi-finals,A,Fulham,0,0,24320
Bournemouth,1/25/2024,FA Cup,Fourth round proper,H,Swansea City,5,0,10166
Manchester City,1/26/2024,FA Cup,Fourth round proper,A,Tottenham,1,0,60872
Tottenham,1/26/2024,FA Cup,Fourth round proper,H,Manchester City,-1,0,60872
Aston Villa,1/26/2024,FA Cup,Fourth round proper,A,Chelsea,0,0,39325
Chelsea,1/26/2024,FA Cup,Fourth round proper,H,Aston Villa,0,0,39325
Nott'ham Forest,1/26/2024,FA Cup,Fourth round proper,A,Bristol City,0,0,25787
Everton,1/27/2024,FA Cup,Fourth round proper,H,Luton Town,-1,0,37713
Luton Town,1/27/2024,FA Cup,Fourth round proper,A,Everton,1,0,37713
Fulham,1/27/2024,FA Cup,Fourth round proper,H,Newcastle Utd,-2,0,18960
Newcastle Utd,1/27/2024,FA Cup,Fourth round proper,A,Fulham,2,0,18960
Brighton,1/27/2024,FA Cup,Fourth round proper,A,Sheffield Utd,3,0,18391
Sheffield Utd,1/27/2024,FA Cup,Fourth round proper,H,Brighton,-3,0,18391
Liverpool,1/28/2024,FA Cup,Fourth round proper,H,Norwich City,3,0,57334
Wolves,1/28/2024,FA Cup,Fourth round proper,A,West Brom,2,0,25013
Manchester Utd,1/28/2024,FA Cup,Fourth round proper,A,Newport County,2,0,9086
Aston Villa,1/30/2024,Premier League,Matchweek 22,H,Newcastle Utd,-2,-1.2,42191
Newcastle Utd,1/30/2024,Premier League,Matchweek 22,A,Aston Villa,2,1.2,42191
Arsenal,1/30/2024,Premier League,Matchweek 22,A,Nott'ham Forest,1,0.7,29387
Nott'ham Forest,1/30/2024,Premier League,Matchweek 22,H,Arsenal,-1,-0.7,29387
Crystal Palace,1/30/2024,Premier League,Matchweek 22,H,Sheffield Utd,1,0.3,24781
Sheffield Utd,1/30/2024,Premier League,Matchweek 22,A,Crystal Palace,-1,-0.3,24781
Everton,1/30/2024,Premier League,Matchweek 22,A,Fulham,0,0.3,24376
Fulham,1/30/2024,Premier League,Matchweek 22,H,Everton,0,-0.3,24376
Brighton,1/30/2024,Premier League,Matchweek 22,A,Luton Town,-4,-2.2,10994
Luton Town,1/30/2024,Premier League,Matchweek 22,H,Brighton,4,2.2,10994
Brentford,1/31/2024,Premier League,Matchweek 22,A,Tottenham,-1,-1.3,61210
Tottenham,1/31/2024,Premier League,Matchweek 22,H,Brentford,1,1.3,61210
Chelsea,1/31/2024,Premier League,Matchweek 22,A,Liverpool,-3,-2.3,57524
Liverpool,1/31/2024,Premier League,Matchweek 22,H,Chelsea,3,2.3,57524
Burnley,1/31/2024,Premier League,Matchweek 22,A,Manchester City,-2,-0.3,52143
Manchester City,1/31/2024,Premier League,Matchweek 22,H,Burnley,2,0.3,52143
Bournemouth,2/1/2024,Premier League,Matchweek 22,A,West Ham,0,-0.2,62478
West Ham,2/1/2024,Premier League,Matchweek 22,H,Bournemouth,0,0.2,62478
Manchester Utd,2/1/2024,Premier League,Matchweek 22,A,Wolves,1,1.2,31641
Wolves,2/1/2024,Premier League,Matchweek 22,H,Manchester Utd,-1,-1.2,31641
Luton Town,2/3/2024,Premier League,Matchweek 23,A,Newcastle Utd,0,0.1,52211
Newcastle Utd,2/3/2024,Premier League,Matchweek 23,H,Luton Town,0,-0.1,52211
Everton,2/3/2024,Premier League,Matchweek 23,H,Tottenham,0,1.6,39321
Tottenham,2/3/2024,Premier League,Matchweek 23,A,Everton,0,-1.6,39321
Brighton,2/3/2024,Premier League,Matchweek 23,H,Crystal Palace,3,1.1,31345
Crystal Palace,2/3/2024,Premier League,Matchweek 23,A,Brighton,-3,-1.1,31345
Aston Villa,2/3/2024,Premier League,Matchweek 23,A,Sheffield Utd,5,0.8,30187
Sheffield Utd,2/3/2024,Premier League,Matchweek 23,H,Aston Villa,-5,-0.8,30187
Burnley,2/3/2024,Premier League,Matchweek 23,H,Fulham,0,0.3,20203
Fulham,2/3/2024,Premier League,Matchweek 23,A,Burnley,0,-0.3,20203
Manchester Utd,2/4/2024,Premier League,Matchweek 23,H,West Ham,3,-0.7,73612
West Ham,2/4/2024,Premier League,Matchweek 23,A,Manchester Utd,-3,0.7,73612
Arsenal,2/4/2024,Premier League,Matchweek 23,H,Liverpool,2,3.1,60374
Liverpool,2/4/2024,Premier League,Matchweek 23,A,Arsenal,-2,-3.1,60374
Chelsea,2/4/2024,Premier League,Matchweek 23,H,Wolves,-2,-0.3,39628
Wolves,2/4/2024,Premier League,Matchweek 23,A,Chelsea,2,0.3,39628
Bournemouth,2/4/2024,Premier League,Matchweek 23,H,Nott'ham Forest,0,0.8,11200
Nott'ham Forest,2/4/2024,Premier League,Matchweek 23,A,Bournemouth,0,-0.8,11200
Brentford,2/5/2024,Premier League,Matchweek 23,H,Manchester City,-2,-1.1,17096
Manchester City,2/5/2024,Premier League,Matchweek 23,A,Brentford,2,1.1,17096
Aston Villa,2/7/2024,FA Cup,Fourth round proper,H,Chelsea,-2,0,40013
Chelsea,2/7/2024,FA Cup,Fourth round proper,A,Aston Villa,2,0,40013
Nott'ham Forest,2/7/2024,FA Cup,Fourth round proper,H,Bristol City,0,0,27754
Brighton,2/10/2024,Premier League,Matchweek 24,A,Tottenham,-1,-0.4,61445
Tottenham,2/10/2024,Premier League,Matchweek 24,H,Brighton,1,0.4,61445
Burnley,2/10/2024,Premier League,Matchweek 24,A,Liverpool,-2,-1.5,59896
Liverpool,2/10/2024,Premier League,Matchweek 24,H,Burnley,2,1.5,59896
Everton,2/10/2024,Premier League,Matchweek 24,A,Manchester City,-2,-1.3,52187
Manchester City,2/10/2024,Premier League,Matchweek 24,H,Everton,2,1.3,52187
Brentford,2/10/2024,Premier League,Matchweek 24,A,Wolves,2,0.9,30731
Wolves,2/10/2024,Premier League,Matchweek 24,H,Brentford,-2,-0.9,30731
Newcastle Utd,2/10/2024,Premier League,Matchweek 24,A,Nott'ham Forest,1,-1,29451
Nott'ham Forest,2/10/2024,Premier League,Matchweek 24,H,Newcastle Utd,-1,1,29451
Bournemouth,2/10/2024,Premier League,Matchweek 24,A,Fulham,-2,0.2,24271
Fulham,2/10/2024,Premier League,Matchweek 24,H,Bournemouth,2,-0.2,24271
Luton Town,2/10/2024,Premier League,Matchweek 24,H,Sheffield Utd,-2,0.1,11138
Sheffield Utd,2/10/2024,Premier League,Matchweek 24,A,Luton Town,2,-0.1,11138
Arsenal,2/11/2024,Premier League,Matchweek 24,A,West Ham,6,3.4,62475
West Ham,2/11/2024,Premier League,Matchweek 24,H,Arsenal,-6,-3.4,62475
Aston Villa,2/11/2024,Premier League,Matchweek 24,H,Manchester Utd,-1,0.6,42185
Manchester Utd,2/11/2024,Premier League,Matchweek 24,A,Aston Villa,1,-0.6,42185
Chelsea,2/12/2024,Premier League,Matchweek 24,A,Crystal Palace,2,0.8,25110
Crystal Palace,2/12/2024,Premier League,Matchweek 24,H,Chelsea,-2,-0.8,25110
Manchester City,2/13/2024,Champions Lg,Round of 16,A,FC Copenhagen,2,3,35853
Tottenham,2/17/2024,Premier League,Matchweek 25,H,Wolves,-1,-0.2,61532
Wolves,2/17/2024,Premier League,Matchweek 25,A,Tottenham,1,0.2,61532
Bournemouth,2/17/2024,Premier League,Matchweek 25,A,Newcastle Utd,0,0,52224
Newcastle Utd,2/17/2024,Premier League,Matchweek 25,H,Bournemouth,0,0,52224
Chelsea,2/17/2024,Premier League,Matchweek 25,A,Manchester City,0,-1.2,52178
Manchester City,2/17/2024,Premier League,Matchweek 25,H,Chelsea,0,1.2,52178
Nott'ham Forest,2/17/2024,Premier League,Matchweek 25,H,West Ham,2,2.3,29490
West Ham,2/17/2024,Premier League,Matchweek 25,A,Nott'ham Forest,-2,-2.3,29490
Aston Villa,2/17/2024,Premier League,Matchweek 25,A,Fulham,1,0,24401
Fulham,2/17/2024,Premier League,Matchweek 25,H,Aston Villa,-1,0,24401
Arsenal,2/17/2024,Premier League,Matchweek 25,A,Burnley,5,2,21311
Burnley,2/17/2024,Premier League,Matchweek 25,H,Arsenal,-5,-2,21311
Brentford,2/17/2024,Premier League,Matchweek 25,H,Liverpool,-3,-1.2,17193
Liverpool,2/17/2024,Premier League,Matchweek 25,A,Brentford,3,1.2,17193
Brighton,2/18/2024,Premier League,Matchweek 25,A,Sheffield Utd,5,2.3,29522
Sheffield Utd,2/18/2024,Premier League,Matchweek 25,H,Brighton,-5,-2.3,29522
Luton Town,2/18/2024,Premier League,Matchweek 25,H,Manchester Utd,-1,-1.1,11483
Manchester Utd,2/18/2024,Premier League,Matchweek 25,A,Luton Town,1,1.1,11483
Crystal Palace,2/19/2024,Premier League,Matchweek 25,A,Everton,0,-1,38164
Everton,2/19/2024,Premier League,Matchweek 25,H,Crystal Palace,0,1,38164
Brentford,2/20/2024,Premier League,Matchweek 18,A,Manchester City,-1,-1.9,52247
Manchester City,2/20/2024,Premier League,Matchweek 18,H,Brentford,1,1.9,52247
Liverpool,2/21/2024,Premier League,Matchweek 26,H,Luton Town,3,2.4,59713
Luton Town,2/21/2024,Premier League,Matchweek 26,A,Liverpool,-3,-2.4,59713
Arsenal,2/21/2024,Champions Lg,Round of 16,A,Porto,-1,-0.6,49111
Fulham,2/24/2024,Premier League,Matchweek 26,A,Manchester Utd,1,-0.5,73487
Manchester Utd,2/24/2024,Premier League,Matchweek 26,H,Fulham,-1,0.5,73487
Arsenal,2/24/2024,Premier League,Matchweek 26,H,Newcastle Utd,3,2.6,60298
Newcastle Utd,2/24/2024,Premier League,Matchweek 26,A,Arsenal,-3,-2.6,60298
Aston Villa,2/24/2024,Premier League,Matchweek 26,H,Nott'ham Forest,2,1,42131
Nott'ham Forest,2/24/2024,Premier League,Matchweek 26,A,Aston Villa,-2,-1,42131
Brighton,2/24/2024,Premier League,Matchweek 26,H,Everton,0,1.1,41646
Everton,2/24/2024,Premier League,Matchweek 26,A,Brighton,0,-1.1,41646
Burnley,2/24/2024,Premier League,Matchweek 26,A,Crystal Palace,-3,-2.3,24042
Crystal Palace,2/24/2024,Premier League,Matchweek 26,H,Burnley,3,2.3,24042
Bournemouth,2/24/2024,Premier League,Matchweek 26,H,Manchester City,-1,-0.7,11184
Manchester City,2/24/2024,Premier League,Matchweek 26,A,Bournemouth,1,0.7,11184
Chelsea,2/25/2024,EFL Cup,Final,N,Liverpool,-1,0,88868
Liverpool,2/25/2024,EFL Cup,Final,N,Chelsea,1,0,88868
Sheffield Utd,2/25/2024,Premier League,Matchweek 26,A,Wolves,-1,-0.7,30789
Wolves,2/25/2024,Premier League,Matchweek 26,H,Sheffield Utd,1,0.7,30789
Brentford,2/26/2024,Premier League,Matchweek 26,A,West Ham,-2,-0.8,62450
West Ham,2/26/2024,Premier League,Matchweek 26,H,Brentford,2,0.8,62450
Newcastle Utd,2/27/2024,FA Cup,Fifth round proper,A,Blackburn,0,0,22730
Luton Town,2/27/2024,FA Cup,Fifth round proper,H,Manchester City,-4,0,11163
Manchester City,2/27/2024,FA Cup,Fifth round proper,A,Luton Town,4,0,11163
Bournemouth,2/27/2024,FA Cup,Fifth round proper,H,Leicester City,-1,0,10872
Liverpool,2/28/2024,FA Cup,Fifth round proper,H,Southampton,3,0,59782
Chelsea,2/28/2024,FA Cup,Fifth round proper,H,Leeds United,1,0,37892
Manchester Utd,2/28/2024,FA Cup,Fifth round proper,A,Nott'ham Forest,1,0,28665
Nott'ham Forest,2/28/2024,FA Cup,Fifth round proper,H,Manchester Utd,-1,0,28665
Brighton,2/28/2024,FA Cup,Fifth round proper,A,Wolves,-1,0,23822
Wolves,2/28/2024,FA Cup,Fifth round proper,H,Brighton,1,0,23822
Crystal Palace,3/2/2024,Premier League,Matchweek 27,A,Tottenham,-2,-1.6,61339
Tottenham,3/2/2024,Premier League,Matchweek 27,H,Crystal Palace,2,1.6,61339
Newcastle Utd,3/2/2024,Premier League,Matchweek 27,H,Wolves,3,1.3,52206
Wolves,3/2/2024,Premier League,Matchweek 27,A,Newcastle Utd,-3,-1.3,52206
Everton,3/2/2024,Premier League,Matchweek 27,H,West Ham,-2,0.8,39262
West Ham,3/2/2024,Premier League,Matchweek 27,A,Everton,2,-0.8,39262
Liverpool,3/2/2024,Premier League,Matchweek 27,A,Nott'ham Forest,1,1,29603
Nott'ham Forest,3/2/2024,Premier League,Matchweek 27,H,Liverpool,-1,-1,29603
Brighton,3/2/2024,Premier League,Matchweek 27,A,Fulham,-3,0,24460
Fulham,3/2/2024,Premier League,Matchweek 27,H,Brighton,3,0,24460
Brentford,3/2/2024,Premier League,Matchweek 27,H,Chelsea,0,0,17140
Chelsea,3/2/2024,Premier League,Matchweek 27,A,Brentford,0,0,17140
Aston Villa,3/2/2024,Premier League,Matchweek 27,A,Luton Town,1,0.1,11594
Luton Town,3/2/2024,Premier League,Matchweek 27,H,Aston Villa,-1,-0.1,11594
Manchester City,3/3/2024,Premier League,Matchweek 27,H,Manchester Utd,2,3.1,53514
Manchester Utd,3/3/2024,Premier League,Matchweek 27,A,Manchester City,-2,-3.1,53514
Bournemouth,3/3/2024,Premier League,Matchweek 27,A,Burnley,2,-0.4,19713
Burnley,3/3/2024,Premier League,Matchweek 27,H,Bournemouth,-2,0.4,19713
Arsenal,3/4/2024,Premier League,Matchweek 27,A,Sheffield Utd,6,2.1,29157
Sheffield Utd,3/4/2024,Premier League,Matchweek 27,H,Arsenal,-6,-2.1,29157
Manchester City,3/6/2024,Champions Lg,Round of 16,H,FC Copenhagen,2,-0.4,51531
Brighton,3/7/2024,Europa Lg,Round of 16,A,Roma,-4,-1.9,64877
Aston Villa,3/7/2024,Conf Lg,Round of 16,A,Ajax,0,-0.5,52197
West Ham,3/7/2024,Europa Lg,Round of 16,A,Freiburg,-1,-0.1,34700
Liverpool,3/7/2024,Europa Lg,Round of 16,A,Sparta Prague,4,1.9,18349
Everton,3/9/2024,Premier League,Matchweek 28,A,Manchester Utd,-2,-1.1,73601
Manchester Utd,3/9/2024,Premier League,Matchweek 28,H,Everton,2,1.1,73601
Arsenal,3/9/2024,Premier League,Matchweek 28,H,Brentford,1,0.3,60331
Brentford,3/9/2024,Premier League,Matchweek 28,A,Arsenal,-1,-0.3,60331
Fulham,3/9/2024,Premier League,Matchweek 28,A,Wolves,-1,1.8,30860
Wolves,3/9/2024,Premier League,Matchweek 28,H,Fulham,1,-1.8,30860
Crystal Palace,3/9/2024,Premier League,Matchweek 28,H,Luton Town,0,1.9,25103
Luton Town,3/9/2024,Premier League,Matchweek 28,A,Crystal Palace,0,-1.9,25103
Bournemouth,3/9/2024,Premier League,Matchweek 28,H,Sheffield Utd,0,2.1,11074
Sheffield Utd,3/9/2024,Premier League,Matchweek 28,A,Bournemouth,0,-2.1,11074
Burnley,3/10/2024,Premier League,Matchweek 28,A,West Ham,0,-1.4,62441
West Ham,3/10/2024,Premier League,Matchweek 28,H,Burnley,0,1.4,62441
Liverpool,3/10/2024,Premier League,Matchweek 28,H,Manchester City,0,1.1,59947
Manchester City,3/10/2024,Premier League,Matchweek 28,A,Liverpool,0,-1.1,59947
