team,match_date,comp,stage,HAN,vs,gd,xgd,attendance
Aston Villa,3/10/2024,Premier League,Matchweek 28,H,Tottenham,-4,-0.7,42310
Tottenham,3/10/2024,Premier League,Matchweek 28,A,Aston Villa,4,0.7,42310
Brighton,3/10/2024,Premier League,Matchweek 28,H,Nott'ham Forest,1,-0.3,31505
Nott'ham Forest,3/10/2024,Premier League,Matchweek 28,A,Brighton,-1,0.3,31505
Chelsea,3/11/2024,Premier League,Matchweek 28,H,Newcastle Utd,1,0.9,37753
Newcastle Utd,3/11/2024,Premier League,Matchweek 28,A,Chelsea,-1,-0.9,37753
Arsenal,3/12/2024,Champions Lg,Round of 16,H,Porto,1,0.4,60257
Bournemouth,3/13/2024,Premier League,Matchweek 17,H,Luton Town,1,0.3,11198
Luton Town,3/13/2024,Premier League,Matchweek 17,A,Bournemouth,-1,-0.3,11198
Liverpool,3/14/2024,Europa Lg,Round of 16,H,Sparta Prague,5,3.2,59581
West Ham,3/14/2024,Europa Lg,Round of 16,H,Freiburg,5,1.8,51014
Aston Villa,3/14/2024,Conf Lg,Round of 16,H,Ajax,4,0.8,37916
Brighton,3/14/2024,Europa Lg,Round of 16,H,Roma,1,1,30380
Manchester City,3/16/2024,FA Cup,Quarter-finals,H,Newcastle Utd,2,0,52126
Newcastle Utd,3/16/2024,FA Cup,Quarter-finals,A,Manchester City,-2,0,52126
Wolves,3/16/2024,FA Cup,Quarter-finals,H,Coventry City,-1,0,31262
Fulham,3/16/2024,Premier League,Matchweek 29,H,Tottenham,3,0.2,24410
Tottenham,3/16/2024,Premier League,Matchweek 29,A,Fulham,-3,-0.2,24410
Brentford,3/16/2024,Premier League,Matchweek 29,A,Burnley,-1,-1.7,20431
Burnley,3/16/2024,Premier League,Matchweek 29,H,Brentford,1,1.7,20431
Luton Town,3/16/2024,Premier League,Matchweek 29,H,Nott'ham Forest,0,-1.4,11630
Nott'ham Forest,3/16/2024,Premier League,Matchweek 29,A,Luton Town,0,1.4,11630
Liverpool,3/17/2024,FA Cup,Quarter-finals,A,Manchester Utd,-1,0,72291
Manchester Utd,3/17/2024,FA Cup,Quarter-finals,H,Liverpool,1,0,72291
Aston Villa,3/17/2024,Premier League,Matchweek 29,A,West Ham,0,-1.3,62461
West Ham,3/17/2024,Premier League,Matchweek 29,H,Aston Villa,0,1.3,62461
Chelsea,3/17/2024,FA Cup,Quarter-finals,H,Leicester City,2,0,39589
Luton Town,3/30/2024,Premier League,Matchweek 30,A,Tottenham,-1,-2.4,61534
Tottenham,3/30/2024,Premier League,Matchweek 30,H,Luton Town,1,2.4,61534
Newcastle Utd,3/30/2024,Premier League,Matchweek 30,H,West Ham,1,2.7,52199
West Ham,3/30/2024,Premier League,Matchweek 30,A,Newcastle Utd,-1,-2.7,52199
Aston Villa,3/30/2024,Premier League,Matchweek 30,H,Wolves,2,-0.5,42640
Wolves,3/30/2024,Premier League,Matchweek 30,A,Aston Villa,-2,0.5,42640
Burnley,3/30/2024,Premier League,Matchweek 30,A,Chelsea,0,-2.6,39535
Chelsea,3/30/2024,Premier League,Matchweek 30,H,Burnley,0,2.6,39535
Fulham,3/30/2024,Premier League,Matchweek 30,A,Sheffield Utd,0,-0.6,30010
Sheffield Utd,3/30/2024,Premier League,Matchweek 30,H,Fulham,0,0.6,30010
Crystal Palace,3/30/2024,Premier League,Matchweek 30,A,Nott'ham Forest,0,0.3,29520
Nott'ham Forest,3/30/2024,Premier League,Matchweek 30,H,Crystal Palace,0,-0.3,29520
Brentford,3/30/2024,Premier League,Matchweek 30,H,Manchester Utd,0,2.6,17138
Manchester Utd,3/30/2024,Premier League,Matchweek 30,A,Brentford,0,-2.6,17138
Bournemouth,3/30/2024,Premier League,Matchweek 30,H,Everton,1,0.3,11207
Everton,3/30/2024,Premier League,Matchweek 30,A,Bournemouth,-1,-0.3,11207
Brighton,3/31/2024,Premier League,Matchweek 30,A,Liverpool,-1,-2.3,60061
Liverpool,3/31/2024,Premier League,Matchweek 30,H,Brighton,1,2.3,60061
Arsenal,3/31/2024,Premier League,Matchweek 30,A,Manchester City,0,-0.3,52178
Manchester City,3/31/2024,Premier League,Matchweek 30,H,Arsenal,0,0.3,52178
Tottenham,4/2/2024,Premier League,Matchweek 31,A,West Ham,0,-0.5,62469
West Ham,4/2/2024,Premier League,Matchweek 31,H,Tottenham,0,0.5,62469
Everton,4/2/2024,Premier League,Matchweek 31,A,Newcastle Utd,0,-1,52135
Newcastle Utd,4/2/2024,Premier League,Matchweek 31,H,Everton,0,1,52135
Fulham,4/2/2024,Premier League,Matchweek 31,A,Nott'ham Forest,-2,0,28997
Nott'ham Forest,4/2/2024,Premier League,Matchweek 31,H,Fulham,2,0,28997
Burnley,4/2/2024,Premier League,Matchweek 31,H,Wolves,0,0.4,21528
Wolves,4/2/2024,Premier League,Matchweek 31,A,Burnley,0,-0.4,21528
Bournemouth,4/2/2024,Premier League,Matchweek 31,H,Crystal Palace,1,0.9,11058
Crystal Palace,4/2/2024,Premier League,Matchweek 31,A,Bournemouth,-1,-0.9,11058
Arsenal,4/3/2024,Premier League,Matchweek 31,H,Luton Town,2,0.4,60262
Luton Town,4/3/2024,Premier League,Matchweek 31,A,Arsenal,-2,-0.4,60262
Aston Villa,4/3/2024,Premier League,Matchweek 31,A,Manchester City,-3,-2.6,53422
Manchester City,4/3/2024,Premier League,Matchweek 31,H,Aston Villa,3,2.6,53422
Brentford,4/3/2024,Premier League,Matchweek 31,H,Brighton,0,-0.5,17024
Brighton,4/3/2024,Premier League,Matchweek 31,A,Brentford,0,0.5,17024
Liverpool,4/4/2024,Premier League,Matchweek 31,H,Sheffield Utd,2,1.2,60055
Sheffield Utd,4/4/2024,Premier League,Matchweek 31,A,Liverpool,-2,-1.2,60055
Chelsea,4/4/2024,Premier League,Matchweek 31,H,Manchester Utd,1,1.5,39694
Manchester Utd,4/4/2024,Premier League,Matchweek 31,A,Chelsea,-1,-1.5,39694
Aston Villa,4/6/2024,Premier League,Matchweek 32,H,Brentford,0,0,42118
Brentford,4/6/2024,Premier League,Matchweek 32,A,Aston Villa,0,0,42118
Burnley,4/6/2024,Premier League,Matchweek 32,A,Everton,-1,-0.4,39125
Everton,4/6/2024,Premier League,Matchweek 32,H,Burnley,1,0.4,39125
Arsenal,4/6/2024,Premier League,Matchweek 32,A,Brighton,3,2.9,31677
Brighton,4/6/2024,Premier League,Matchweek 32,H,Arsenal,-3,-2.9,31677
West Ham,4/6/2024,Premier League,Matchweek 32,A,Wolves,1,-0.3,31504
Wolves,4/6/2024,Premier League,Matchweek 32,H,West Ham,-1,0.3,31504
Crystal Palace,4/6/2024,Premier League,Matchweek 32,H,Manchester City,-2,-0.8,25132
Manchester City,4/6/2024,Premier League,Matchweek 32,A,Crystal Palace,2,0.8,25132
Fulham,4/6/2024,Premier League,Matchweek 32,H,Newcastle Utd,-1,0.2,24418
Newcastle Utd,4/6/2024,Premier League,Matchweek 32,A,Fulham,1,-0.2,24418
Bournemouth,4/6/2024,Premier League,Matchweek 32,A,Luton Town,-1,-1.1,11797
Luton Town,4/6/2024,Premier League,Matchweek 32,H,Bournemouth,1,1.1,11797
Liverpool,4/7/2024,Premier League,Matchweek 32,A,Manchester Utd,0,2.9,73501
Manchester Utd,4/7/2024,Premier League,Matchweek 32,H,Liverpool,0,-2.9,73501
Nott'ham Forest,4/7/2024,Premier League,Matchweek 32,A,Tottenham,-2,0,61098
Tottenham,4/7/2024,Premier League,Matchweek 32,H,Nott'ham Forest,2,0,61098
Chelsea,4/7/2024,Premier League,Matchweek 32,A,Sheffield Utd,0,-1.1,28638
Sheffield Utd,4/7/2024,Premier League,Matchweek 32,H,Chelsea,0,1.1,28638
Manchester City,4/9/2024,Champions Lg,Quarter-finals,A,Real Madrid,0,0.1,76680
Arsenal,4/9/2024,Champions Lg,Quarter-finals,H,Bayern Munich,0,-0.9,60221
Liverpool,4/11/2024,Europa Lg,Quarter-finals,H,Atalanta,-3,-0.6,59004
Aston Villa,4/11/2024,Conf Lg,Quarter-finals,H,Lille,1,-0.4,37220
West Ham,4/11/2024,Europa Lg,Quarter-finals,A,Leverkusen,-2,-2.1,30210
Luton Town,4/13/2024,Premier League,Matchweek 33,A,Manchester City,-4,-3.7,52149
Manchester City,4/13/2024,Premier League,Matchweek 33,H,Luton Town,4,3.7,52149
Newcastle Utd,4/13/2024,Premier League,Matchweek 33,H,Tottenham,4,2,52147
Tottenham,4/13/2024,Premier League,Matchweek 33,A,Newcastle Utd,-4,-2,52147
Nott'ham Forest,4/13/2024,Premier League,Matchweek 33,H,Wolves,0,0.9,29604
Wolves,4/13/2024,Premier League,Matchweek 33,A,Nott'ham Forest,0,-0.9,29604
Brighton,4/13/2024,Premier League,Matchweek 33,A,Burnley,0,-0.8,20687
Burnley,4/13/2024,Premier League,Matchweek 33,H,Brighton,0,0.8,20687
Brentford,4/13/2024,Premier League,Matchweek 33,H,Sheffield Utd,2,0.2,17115
Sheffield Utd,4/13/2024,Premier League,Matchweek 33,A,Brentford,-2,-0.2,17115
Bournemouth,4/13/2024,Premier League,Matchweek 33,H,Manchester Utd,0,0.4,11229
Manchester Utd,4/13/2024,Premier League,Matchweek 33,A,Bournemouth,0,-0.4,11229
Fulham,4/14/2024,Premier League,Matchweek 33,A,West Ham,2,2.3,62459
West Ham,4/14/2024,Premier League,Matchweek 33,H,Fulham,-2,-2.3,62459
Arsenal,4/14/2024,Premier League,Matchweek 33,H,Aston Villa,-2,0.7,60350
Aston Villa,4/14/2024,Premier League,Matchweek 33,A,Arsenal,2,-0.7,60350
Crystal Palace,4/14/2024,Premier League,Matchweek 33,A,Liverpool,1,-0.7,60090
Liverpool,4/14/2024,Premier League,Matchweek 33,H,Crystal Palace,-1,0.7,60090
Chelsea,4/15/2024,Premier League,Matchweek 33,H,Everton,6,1.6,39392
Everton,4/15/2024,Premier League,Matchweek 33,A,Chelsea,-6,-1.6,39392
Arsenal,4/17/2024,Champions Lg,Quarter-finals,A,Bayern Munich,-1,-0.9,75000
Manchester City,4/17/2024,Champions Lg,Quarter-finals,H,Real Madrid,0,1.3,52306
West Ham,4/18/2024,Europa Lg,Quarter-finals,H,Leverkusen,0,0.4,62473
Aston Villa,4/18/2024,Conf Lg,Quarter-finals,A,Lille,-1,-0.2,47093
Liverpool,4/18/2024,Europa Lg,Quarter-finals,A,Atalanta,1,1,14994
Chelsea,4/20/2024,FA Cup,Semi-finals,N,Manchester City,-1,0,80902
Manchester City,4/20/2024,FA Cup,Semi-finals,N,Chelsea,1,0,80902
Arsenal,4/20/2024,Premier League,Matchweek 34,A,Wolves,2,1,31621
Wolves,4/20/2024,Premier League,Matchweek 34,H,Arsenal,-2,-1,31621
Burnley,4/20/2024,Premier League,Matchweek 34,A,Sheffield Utd,3,-0.2,28964
Sheffield Utd,4/20/2024,Premier League,Matchweek 34,H,Burnley,-3,0.2,28964
Brentford,4/20/2024,Premier League,Matchweek 34,A,Luton Town,4,2.5,11877
Luton Town,4/20/2024,Premier League,Matchweek 34,H,Brentford,-4,-2.5,11877
Manchester Utd,4/21/2024,FA Cup,Semi-finals,N,Coventry City,0,0,83672
Aston Villa,4/21/2024,Premier League,Matchweek 34,H,Bournemouth,2,0.6,42189
Bournemouth,4/21/2024,Premier League,Matchweek 34,A,Aston Villa,-2,-0.6,42189
Everton,4/21/2024,Premier League,Matchweek 34,H,Nott'ham Forest,2,-0.6,39239
Nott'ham Forest,4/21/2024,Premier League,Matchweek 34,A,Everton,-2,0.6,39239
Crystal Palace,4/21/2024,Premier League,Matchweek 34,H,West Ham,3,1.1,25145
West Ham,4/21/2024,Premier League,Matchweek 34,A,Crystal Palace,-3,-1.1,25145
Fulham,4/21/2024,Premier League,Matchweek 34,H,Liverpool,-2,-0.2,24414
Liverpool,4/21/2024,Premier League,Matchweek 34,A,Fulham,2,0.2,24414
Arsenal,4/23/2024,Premier League,Matchweek 29,H,Chelsea,5,1.7,60238
Chelsea,4/23/2024,Premier League,Matchweek 29,A,Arsenal,-5,-1.7,60238
Manchester Utd,4/24/2024,Premier League,Matchweek 29,H,Sheffield Utd,2,2.1,73549
Sheffield Utd,4/24/2024,Premier League,Matchweek 29,A,Manchester Utd,-2,-2.1,73549
Everton,4/24/2024,Premier League,Matchweek 29,H,Liverpool,2,-0.9,38222
Liverpool,4/24/2024,Premier League,Matchweek 29,A,Everton,-2,0.9,38222
Bournemouth,4/24/2024,Premier League,Matchweek 29,A,Wolves,1,1.4,25541
Wolves,4/24/2024,Premier League,Matchweek 29,H,Bournemouth,-1,-1.4,25541
Crystal Palace,4/24/2024,Premier League,Matchweek 29,H,Newcastle Utd,2,0.5,25002
Newcastle Utd,4/24/2024,Premier League,Matchweek 29,A,Crystal Palace,-2,-0.5,25002
Brighton,4/25/2024,Premier League,Matchweek 29,H,Manchester City,-4,-0.8,31596
Manchester City,4/25/2024,Premier League,Matchweek 29,A,Brighton,4,0.8,31596
Burnley,4/27/2024,Premier League,Matchweek 35,A,Manchester Utd,0,-0.6,73571
Manchester Utd,4/27/2024,Premier League,Matchweek 35,H,Burnley,0,0.6,73571
Liverpool,4/27/2024,Premier League,Matchweek 35,A,West Ham,0,1,62474
West Ham,4/27/2024,Premier League,Matchweek 35,H,Liverpool,0,-1,62474
Newcastle Utd,4/27/2024,Premier League,Matchweek 35,H,Sheffield Utd,4,1.6,52196
Sheffield Utd,4/27/2024,Premier League,Matchweek 35,A,Newcastle Utd,-4,-1.6,52196
Aston Villa,4/27/2024,Premier League,Matchweek 35,H,Chelsea,0,-0.5,42354
Chelsea,4/27/2024,Premier League,Matchweek 35,A,Aston Villa,0,0.5,42354
Brentford,4/27/2024,Premier League,Matchweek 35,A,Everton,-1,0.1,39098
Everton,4/27/2024,Premier League,Matchweek 35,H,Brentford,1,-0.1,39098
Luton Town,4/27/2024,Premier League,Matchweek 35,A,Wolves,-1,-0.6,31531
Wolves,4/27/2024,Premier League,Matchweek 35,H,Luton Town,1,0.6,31531
Crystal Palace,4/27/2024,Premier League,Matchweek 35,A,Fulham,0,-0.1,24142
Fulham,4/27/2024,Premier League,Matchweek 35,H,Crystal Palace,0,0.1,24142
Arsenal,4/28/2024,Premier League,Matchweek 35,A,Tottenham,1,-1.3,61554
Tottenham,4/28/2024,Premier League,Matchweek 35,H,Arsenal,-1,1.3,61554
Manchester City,4/28/2024,Premier League,Matchweek 35,A,Nott'ham Forest,2,-1,29677
Nott'ham Forest,4/28/2024,Premier League,Matchweek 35,H,Manchester City,-2,1,29677
Bournemouth,4/28/2024,Premier League,Matchweek 35,H,Brighton,3,1,11188
Brighton,4/28/2024,Premier League,Matchweek 35,A,Bournemouth,-3,-1,11188
Aston Villa,5/2/2024,Conf Lg,Semi-finals,H,Olympiacos,-2,-0.2,41220
Chelsea,5/2/2024,Premier League,Matchweek 26,H,Tottenham,2,0.6,39086
Tottenham,5/2/2024,Premier League,Matchweek 26,A,Chelsea,-2,-0.6,39086
Everton,5/3/2024,Premier League,Matchweek 36,A,Luton Town,0,0.6,11873
Luton Town,5/3/2024,Premier League,Matchweek 36,H,Everton,0,-0.6,11873
Arsenal,5/4/2024,Premier League,Matchweek 36,H,Bournemouth,3,2.8,60348
Bournemouth,5/4/2024,Premier League,Matchweek 36,A,Arsenal,-3,-2.8,60348
Manchester City,5/4/2024,Premier League,Matchweek 36,H,Wolves,4,3.4,52439
Wolves,5/4/2024,Premier League,Matchweek 36,A,Manchester City,-4,-3.4,52439
Nott'ham Forest,5/4/2024,Premier League,Matchweek 36,A,Sheffield Utd,2,-0.7,28516
Sheffield Utd,5/4/2024,Premier League,Matchweek 36,H,Nott'ham Forest,-2,0.7,28516
Burnley,5/4/2024,Premier League,Matchweek 36,H,Newcastle Utd,-3,-2.4,21781
Newcastle Utd,5/4/2024,Premier League,Matchweek 36,A,Burnley,3,2.4,21781
Brentford,5/4/2024,Premier League,Matchweek 36,H,Fulham,0,-0.7,17090
Fulham,5/4/2024,Premier League,Matchweek 36,A,Brentford,0,0.7,17090
Liverpool,5/5/2024,Premier League,Matchweek 36,H,Tottenham,2,2.1,60075
Tottenham,5/5/2024,Premier League,Matchweek 36,A,Liverpool,-2,-2.1,60075
Chelsea,5/5/2024,Premier League,Matchweek 36,H,West Ham,5,3.2,39295
West Ham,5/5/2024,Premier League,Matchweek 36,A,Chelsea,-5,-3.2,39295
Aston Villa,5/5/2024,Premier League,Matchweek 36,A,Brighton,-1,-2.4,31596
Brighton,5/5/2024,Premier League,Matchweek 36,H,Aston Villa,1,2.4,31596
Crystal Palace,5/6/2024,Premier League,Matchweek 36,H,Manchester Utd,4,1.3,25190
Manchester Utd,5/6/2024,Premier League,Matchweek 36,A,Crystal Palace,-4,-1.3,25190
Aston Villa,5/9/2024,Conf Lg,Semi-finals,A,Olympiacos,-2,-0.1,33000
Luton Town,5/11/2024,Premier League,Matchweek 37,A,West Ham,-2,-2.9,62475
West Ham,5/11/2024,Premier League,Matchweek 37,H,Luton Town,2,2.9,62475
Burnley,5/11/2024,Premier League,Matchweek 37,A,Tottenham,-1,-2,61148
Tottenham,5/11/2024,Premier League,Matchweek 37,H,Burnley,1,2,61148
Brighton,5/11/2024,Premier League,Matchweek 37,A,Newcastle Utd,0,-0.8,51997
Newcastle Utd,5/11/2024,Premier League,Matchweek 37,H,Brighton,0,0.8,51997
Everton,5/11/2024,Premier League,Matchweek 37,H,Sheffield Utd,1,1.7,39221
Sheffield Utd,5/11/2024,Premier League,Matchweek 37,A,Everton,-1,-1.7,39221
Crystal Palace,5/11/2024,Premier League,Matchweek 37,A,Wolves,2,1,31424
Wolves,5/11/2024,Premier League,Matchweek 37,H,Crystal Palace,-2,-1,31424
Chelsea,5/11/2024,Premier League,Matchweek 37,A,Nott'ham Forest,1,0.1,29708
Nott'ham Forest,5/11/2024,Premier League,Matchweek 37,H,Chelsea,-1,-0.1,29708
Fulham,5/11/2024,Premier League,Matchweek 37,H,Manchester City,-4,-3.1,24418
Manchester City,5/11/2024,Premier League,Matchweek 37,A,Fulham,4,3.1,24418
Bournemouth,5/11/2024,Premier League,Matchweek 37,H,Brentford,-1,-0.4,11154
Brentford,5/11/2024,Premier League,Matchweek 37,A,Bournemouth,1,0.4,11154
Arsenal,5/12/2024,Premier League,Matchweek 37,A,Manchester Utd,1,1,73600
Manchester Utd,5/12/2024,Premier League,Matchweek 37,H,Arsenal,-1,-1,73600
Aston Villa,5/13/2024,Premier League,Matchweek 37,H,Liverpool,0,1.4,42241
Liverpool,5/13/2024,Premier League,Matchweek 37,A,Aston Villa,0,-1.4,42241
Manchester City,5/14/2024,Premier League,Matchweek 34,A,Tottenham,2,0.7,61065
Tottenham,5/14/2024,Premier League,Matchweek 34,H,Manchester City,-2,-0.7,61065
Manchester Utd,5/15/2024,Premier League,Matchweek 34,H,Newcastle Utd,1,-0.7,73582
Newcastle Utd,5/15/2024,Premier League,Matchweek 34,A,Manchester Utd,-1,0.7,73582
Brighton,5/15/2024,Premier League,Matchweek 34,H,Chelsea,-1,-0.2,31555
Chelsea,5/15/2024,Premier League,Matchweek 34,A,Brighton,1,0.2,31555
Arsenal,5/19/2024,Premier League,Matchweek 38,H,Everton,1,2.3,60312
Everton,5/19/2024,Premier League,Matchweek 38,A,Arsenal,-1,-2.3,60312
Liverpool,5/19/2024,Premier League,Matchweek 38,H,Wolves,2,4,60059
Wolves,5/19/2024,Premier League,Matchweek 38,A,Liverpool,-2,-4,60059
Manchester City,5/19/2024,Premier League,Matchweek 38,H,West Ham,2,1.5,55097
West Ham,5/19/2024,Premier League,Matchweek 38,A,Manchester City,-2,-1.5,55097
Bournemouth,5/19/2024,Premier League,Matchweek 38,A,Chelsea,-1,1.1,39724
Chelsea,5/19/2024,Premier League,Matchweek 38,H,Bournemouth,1,-1.1,39724
Brighton,5/19/2024,Premier League,Matchweek 38,H,Manchester Utd,-2,0.4,31662
Manchester Utd,5/19/2024,Premier League,Matchweek 38,A,Brighton,2,-0.4,31662
Sheffield Utd,5/19/2024,Premier League,Matchweek 38,H,Tottenham,-3,-2.1,29116
Tottenham,5/19/2024,Premier League,Matchweek 38,A,Sheffield Utd,3,2.1,29116
Aston Villa,5/19/2024,Premier League,Matchweek 38,A,Crystal Palace,-5,-1.6,25191
Crystal Palace,5/19/2024,Premier League,Matchweek 38,H,Aston Villa,5,1.6,25191
Burnley,5/19/2024,Premier League,Matchweek 38,H,Nott'ham Forest,-1,-0.5,21109
Nott'ham Forest,5/19/2024,Premier League,Matchweek 38,A,Burnley,1,0.5,21109
Brentford,5/19/2024,Premier League,Matchweek 38,H,Newcastle Utd,-2,-2.3,17124
Newcastle Utd,5/19/2024,Premier League,Matchweek 38,A,Brentford,2,2.3,17124
Fulham,5/19/2024,Premier League,Matchweek 38,A,Luton Town,2,-0.9,12027
Luton Town,5/19/2024,Premier League,Matchweek 38,H,Fulham,-2,0.9,12027
Manchester City,5/25/2024,FA Cup,Final,N,Manchester Utd,-1,0,84814
Manchester Utd,5/25/2024,FA Cup,Final,N,Manchester City,1,0,84814
